similitud,pieza_1,no_parte_1,pieza_2,no_parte_2,razon_no_fusion
98.4,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,NIPLE ACERO AL CARBON DE 2 1/2 * 4,NIPLE -109,Medidas/modelos diferentes
98.4,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,NIPLE ACERO AL CARBON DE 2 1/2 * 5,NIPLE -108,Medidas/modelos diferentes
98.4,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,NIPLE ACERO AL CARBON DE 2 1/2 * 6,NIPLE -100,Medidas/modelos diferentes
98.4,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,NIPLE ACERO AL CARBON DE 2 1/2 * 8,NIPLE -099,Medidas/modelos diferentes
98.0,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1 1/2""",CODO I-215,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1/2,CODO I-218,Medidas/modelos diferentes
98.0,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1 1/2,CODO I-200,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1/2,CODO I-203,Medidas/modelos diferentes
97.9,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1""",CODO I-216,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1/2,CODO I-218,Medidas/modelos diferentes
97.9,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1""",CODO I-216,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 2""",CODO I-214,Medidas/modelos diferentes
97.9,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1""",CODO I-216,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 3,CODO I-213,Medidas/modelos diferentes
97.9,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1""",CODO I-216,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 4,CODO I-212,Medidas/modelos diferentes
